train_loss,train_accuracy,val_loss,val_accuracy
2.216941224,0.250265858,0.15914433,0.02435435
1.916081766,0.229256171,0.223004473,0.029688087
1.805905938,0.220915345,0.234306516,0.029833622
1.75571339,0.216484325,0.235306238,0.029880273
1.724186532,0.213335121,0.23681618,0.030272627
1.70086819,0.210624873,0.238243405,0.03059806
1.680099503,0.208050001,0.244836031,0.031991706
1.65864593,0.205393255,0.253120754,0.03312973
1.638019716,0.202505812,0.263303131,0.034005561
1.615842837,0.199962502,0.270354682,0.034623504
1.596759356,0.19773947,0.273921469,0.034685651
1.581460584,0.195984265,0.273498234,0.03486354
1.567985699,0.194607956,0.274221217,0.034930512
1.557746164,0.193470116,0.273414823,0.035219634
1.549210942,0.192588269,0.274763024,0.035144127
1.543016413,0.191883287,0.274424255,0.035200624
1.537336028,0.191326795,0.273896591,0.035481415
1.533097518,0.19091531,0.274786093,0.035436996
1.529951765,0.190571497,0.276630929,0.035465165
1.52708407,0.190320924,0.278124843,0.035461984
1.525647332,0.190104214,0.274114043,0.035283895
1.52391699,0.189922372,0.275150073,0.035482094
1.522179541,0.189764225,0.276577463,0.035478935
1.521572951,0.189629092,0.274967179,0.035485128
1.519991814,0.189532106,0.275584858,0.035479236
1.51885752,0.18945835,0.276604634,0.035440622
1.517059901,0.189392482,0.277805645,0.035374947
1.517634213,0.189328992,0.276254677,0.035580582
1.516639431,0.189264263,0.277086703,0.035517553
1.515261062,0.189217187,0.277013334,0.035512525
